id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,74
4,.,9
5,요,8
6,이,7
7,어,7
8,생,7
9,하,6
10,을,6
11,식,6
12,는,6
13,지,5
14,음,5
15,은,5
16,씨,5
17,도,5
18,각,5
19,해,4
20,친,4
21,에,4
22,아,4
23,들,4
24,구,4
25,읽,3
26,의,3
27,오,3
28,앗,3
29,시,3
30,보,3
31,몇,3
32,록,3
33,늘,3
34,간,3
35,함,2
36,티,2
37,터,2
38,좋,2
39,제,2
40,있,2
41,인,2
42,읕,2
43,우,2
44,쓱,2
45,싫,2
46,선,2
47,부,2
48,리,2
49,러,2
50,독,2
51,데,2
52,더,2
53,다,2
54,님,2
55,날,2
56,나,2
57,께,2
58,급,2
59,글,2
60,힘,1
61,히,1
62,후,1
63,했,1
64,한,1
65,키,1
66,침,1
67,칠,1
68,천,1
69,중,1
70,줄,1
71,주,1
72,장,1
73,자,1
74,입,1
75,일,1
76,월,1
77,워,1
78,와,1
79,열,1
80,여,1
81,안,1
82,십,1
83,수,1
84,세,1
85,서,1
86,분,1
87,미,1
88,문,1
89,못,1
90,목,1
91,면,1
92,며,1
93,맺,1
94,매,1
95,만,1
96,를,1
97,력,1
98,런,1
99,랄,1
100,라,1
101,떤,1
102,때,1
103,덥,1
104,니,1
105,녕,1
106,년,1
107,까,1
108,근,1
109,그,1
110,굉,1
111,과,1
112,고,1
113,?,1
